course_id,subject_id,faculty_name,section
C_CS_SEM1,SUB01,Auto,A
C_CS_SEM2,SUB01,Auto,A
C_CS_SEM3,SUB01,Auto,A
C_CS_SEM4,SUB01,Auto,A
C_CS_SEM5,SUB01,Auto,A
C_CS_SEM6,SUB01,Auto,A
C_CS_SEM7,SUB01,Auto,A
C_CS_SEM8,SUB01,Auto,A
C_CSE_SEM1,SUB01,Auto,A
C_CSE_SEM2,SUB01,Auto,A
C_CSE_SEM3,SUB01,Auto,A
C_CSE_SEM4,SUB01,Auto,A
C_CSE_SEM5,SUB01,Auto,A
C_CSE_SEM6,SUB01,Auto,A
C_CSE_SEM7,SUB01,Auto,A
C_CSE_SEM8,SUB01,Auto,A
C_CS_SEM1,SUB02,Auto,A
C_CS_SEM2,SUB02,Auto,A
C_CS_SEM3,SUB02,Auto,A
C_CS_SEM4,SUB02,Auto,A
C_CS_SEM5,SUB02,Auto,A
C_CS_SEM6,SUB02,Auto,A
C_CS_SEM7,SUB02,Auto,A
C_CS_SEM8,SUB02,Auto,A
C_CSE_SEM1,SUB02,Auto,A
C_CSE_SEM2,SUB02,Auto,A
C_CSE_SEM3,SUB02,Auto,A
C_CSE_SEM4,SUB02,Auto,A
C_CSE_SEM5,SUB02,Auto,A
C_CSE_SEM6,SUB02,Auto,A
C_CSE_SEM7,SUB02,Auto,A
C_CSE_SEM8,SUB02,Auto,A
C_CS_SEM1,SUB03,Auto,A
C_CS_SEM2,SUB03,Auto,A
C_CS_SEM3,SUB03,Auto,A
C_CS_SEM4,SUB03,Auto,A
C_CS_SEM5,SUB03,Auto,A
C_CS_SEM6,SUB03,Auto,A
C_CS_SEM7,SUB03,Auto,A
C_CS_SEM8,SUB03,Auto,A
C_CSE_SEM1,SUB03,Auto,A
C_CSE_SEM2,SUB03,Auto,A
C_CSE_SEM3,SUB03,Auto,A
C_CSE_SEM4,SUB03,Auto,A
C_CSE_SEM5,SUB03,Auto,A
C_CSE_SEM6,SUB03,Auto,A
C_CSE_SEM7,SUB03,Auto,A
C_CSE_SEM8,SUB03,Auto,A
C_CS_SEM1,SUB04,Auto,A
C_CS_SEM2,SUB04,Auto,A
C_CS_SEM3,SUB04,Auto,A
C_CS_SEM4,SUB04,Auto,A
C_CS_SEM5,SUB04,Auto,A
C_CS_SEM6,SUB04,Auto,A
C_CS_SEM7,SUB04,Auto,A
C_CS_SEM8,SUB04,Auto,A
C_CSE_SEM1,SUB04,Auto,A
C_CSE_SEM2,SUB04,Auto,A
C_CSE_SEM3,SUB04,Auto,A
C_CSE_SEM4,SUB04,Auto,A
C_CSE_SEM5,SUB04,Auto,A
C_CSE_SEM6,SUB04,Auto,A
C_CSE_SEM7,SUB04,Auto,A
C_CSE_SEM8,SUB04,Auto,A
